"slug","url","status","cluster","content_role","search_intent","buyer_stage","primary_keyword","secondary_keywords","owner_rule","primary_cta_url","source_pdf_id","cannibalization_risk","next_action","last_reviewed_at","notes"
"resolucion-000079-2026-sunat-importacion-consumo","/blog/resolucion-000079-2026-sunat-importacion-consumo/","published","importacion","satelite normativo","informativa urgente","validacion operativa","Resolucion 000079-2026 SUNAT","DESPA-PG.01, rectificacion manifiesto, importacion para el consumo","duenia de resolucion 000079; despacho y documentos son guias practicas","/servicios/consultoria-aduanera","2026-05-08-rs-000079-2026-sunat-importacion-consumo","medio","mantener como resumen normativo; no ampliar guias practicas","2026-05-09","Titulo ajustado para separar intencion normativa."
"servicios-clave-agencia-de-cargas","/blog/servicios-clave-agencia-de-cargas/","published","agencia-carga","satelite comercial","comercial","consideracion","servicios agencia de carga","servicios logisticos, almacenaje, seguro de carga, ultima milla","duenia de servicios de agencia de carga; no competir con servicio principal","/servicios/agencia-de-carga-internacional","","medio","mantener; cuidar solapamiento con pagina de servicio","2026-05-09","Debe actuar como educacion previa, no como landing duplicada."
"todo-sobre-agencias-de-aduanas","/blog/todo-sobre-agencias-de-aduanas/","published","agenciamiento-aduanas","pilar definicional","informativa/comercial","descubrimiento","agencias de aduanas en Peru","agente de aduanas, despachador de aduanas, DAM","duenia de definicion agencias; 7 razones es satelite persuasivo","/servicios/agenciamiento-aduanas","","bajo","mantener como pilar de agenciamiento","2026-05-09","Cornerstone historico del cluster de aduanas."
"transporte-maritimo-internacional-cotizacion-fletes-gestion-contenedores","/blog/transporte-maritimo-internacional-cotizacion-fletes-gestion-contenedores/","published","agencia-carga","pilar logistico","informativa/comercial","validacion operativa","transporte maritimo internacional","cotizacion fletes, contenedores, Bill of Lading, FCL LCL","duenia de transporte maritimo; falso flete es satelite","/servicios/agencia-de-carga-internacional","","bajo","mantener como pilar logistico","2026-05-09","Pieza madre de fletes y contenedores."
"valoracion-aduanera-peru","/blog/valoracion-aduanera-peru/","published","consultoria","pilar tecnico","informativa/comercial","validacion economica","valoracion aduanera en Peru","valor en aduana, valor CIF, metodos de valoracion","duenia de valoracion; costos y tributos son satelites economicos","/servicios/consultoria-aduanera","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","mantener como pilar tecnico-economico","2026-05-09","Actualizada con enlaces a multas y decreto."
"ajuste-de-valor-sunat-importacion","/blog/ajuste-de-valor-sunat-importacion/","published","consultoria","satelite alta intencion","informativa/comercial","decision","ajuste de valor SUNAT","valor declarado importacion, duda razonable aduanas, ajuste de valor aduanero","duenia de ajuste de valor; no competir con guia general de valoracion","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","medir leads y enlazar desde valoracion","2026-05-22","Pieza comercial para captar importadores con observacion o riesgo de ajuste."
"duda-razonable-aduanas-sunat","/blog/duda-razonable-aduanas-sunat/","published","consultoria","satelite tecnico-comercial","informativa/comercial","decision","duda razonable aduanas","duda razonable SUNAT, sustentar valor declarado, valoracion aduanera","duenia de duda razonable; deriva a ajuste de valor","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","interlink con documentos y ajuste","2026-05-22","Pieza para responder consultas de usuarios ya notificados."
"documentos-sustentar-valor-declarado-sunat","/blog/documentos-sustentar-valor-declarado-sunat/","published","consultoria","checklist lead magnet","informativa/comercial","decision","documentos para sustentar valor declarado","factura comercial importacion, medios de pago importacion, sustento valor SUNAT","duenia de checklist documental; captura leads por recurso descargable","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","promover descarga PDF","2026-05-22","Soporte documental para captacion y respuesta preventiva."
"precios-referencia-sunat-valor-importacion","/blog/precios-referencia-sunat-valor-importacion/","published","consultoria","satelite preventivo","informativa/comercial","consideracion","precios de referencia SUNAT","indicador de precios, factura comercial importacion, valor declarado","duenia de precios de referencia; enlaza a descuento y ajuste","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","captar operaciones con precio bajo","2026-05-22","Explica referencias como senal de riesgo sin prometer resultados."
"descuentos-notas-credito-valor-aduana","/blog/descuentos-notas-credito-valor-aduana/","published","consultoria","satelite caso frecuente","informativa/comercial","consideracion","descuentos importacion valor aduanero","nota de credito importacion, descuento proveedor, duda razonable","duenia de descuentos; no competir con documentos generales","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","enlazar desde precios de referencia","2026-05-22","Pieza de caso para importadores con rebajas o notas de credito."
"flete-seguro-gastos-valor-aduana","/blog/flete-seguro-gastos-valor-aduana/","published","importacion","satelite costos","informativa/comercial","validacion economica","flete seguro valor en aduana","gastos conexos, Incoterm importacion, costos de importacion","duenia de flete y seguro; enlaza a costos y tributos","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","enlazar desde costos importacion","2026-05-22","Pieza puente entre costos, tributos y valoracion."
"valor-transaccion-sunat-no-acepta","/blog/valor-transaccion-sunat-no-acepta/","published","consultoria","satelite decision","informativa/comercial","decision","SUNAT no acepta valor de transaccion","metodos de valoracion aduanera, descarte primer metodo, ajuste de valor","duenia de valor de transaccion; deriva a ajuste de valor","/servicios/ajuste-de-valor-aduanero","2023-11-25-rs-00239-2023-sunat-valoracion-mercancias","bajo","medir leads de casos urgentes","2026-05-22","Pieza de alta intencion para casos donde ya se cuestiono el primer metodo."
"importar-juguetes-utiles-escritorio","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","published","importacion","guia evergreen por categoria","comercial/transaccional","validacion regulatoria","importar juguetes a Peru","importar utiles de escritorio, autorizacion sanitaria DIGESA juguetes, requisitos juguetes Peru, rotulado juguetes","duenia de importar juguetes y utiles de escritorio; futuras noticias MINSA deben enlazar aqui","/servicios/consultoria-aduanera","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como pagina principal de categoria y actualizar si el proyecto MINSA se aprueba","2026-05-16","Guia pilar evergreen con checklist PDF descargable. La RM 457-2026/MINSA se presenta como proyecto en consulta."
"rotulado-juguetes-importados-peru","/blog/rotulado-juguetes-importados-peru/","published","importacion","satelite regulatorio-practico","informativa/transaccional","validacion regulatoria","rotulado juguetes Peru","advertencias juguetes, edad recomendada juguetes, importar juguetes a Peru, DIGESA juguetes","duenia de rotulado; no duplicar guia pilar de importar juguetes, enlazar a la categoria principal","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como satelite de rotulado y actualizar si el proyecto MINSA se aprueba","2026-05-17","Articulo especifico sobre rotulado, advertencias e informacion al consumidor. Trata la RM 457-2026/MINSA como proyecto en consulta."
"certificados-ensayo-juguetes-utiles-peru","/blog/certificados-ensayo-juguetes-utiles-peru/","published","consultoria","satelite documental-tecnico","informativa/transaccional","validacion regulatoria","certificado de ensayo juguetes Peru","certificados proveedor juguetes, ensayo juguetes utiles, DIGESA juguetes, utiles de escritorio","duenia de certificados de ensayo; no competir con pagina pilar ni con permisos generales","/servicios/consultoria-aduanera","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como satelite documental y enlazar desde articulos de juguetes/utiles","2026-05-17","Articulo para validar certificados, modelo, lote, laboratorio y alcance. Usa PDF 03 como senal regulatoria."
"importar-utiles-escolares-peru-revision-sanitaria","/blog/importar-utiles-escolares-peru-revision-sanitaria/","published","importacion","satelite sectorial","informativa/transaccional","validacion regulatoria","importar utiles escolares Peru","DIGESA utiles escolares, importar plumones Peru, importar crayones Peru, campana escolar importacion","duenia de utiles escolares; pilar de categoria sigue siendo juguetes y utiles de escritorio","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como satelite de utiles escolares y revisar vigencia si cambia norma sanitaria","2026-05-17","Articulo para campana escolar y revision sanitaria de crayones, plumones, temperas, plastilinas y kits."
"multas-aduaneras-sunat","/servicios/multas-aduaneras-sunat/","published","fiscalizacion","landing comercial","transaccional","decision","revision de multas aduaneras SUNAT","notificacion SUNAT Aduanas, requerimiento aduanero, descargo multa aduanera","duenia comercial de casos ya notificados; blog multas sigue como guia informativa","/servicios/multas-aduaneras-sunat/","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","medir leads WhatsApp y enlazar desde articulos de fiscalizacion","2026-05-23","Landing transaccional para captar importadores/exportadores con notificaciones, requerimientos o multas."
"notificacion-sunat-aduanas-que-hacer","/blog/notificacion-sunat-aduanas-que-hacer/","published","fiscalizacion","satelite urgente","informativa/comercial","decision","notificacion SUNAT Aduanas","comunicacion SUNAT Aduanas, requerimiento aduanero, multa aduanera notificada","duenia de primera reaccion ante notificacion; no competir con guia general de multas","/servicios/multas-aduaneras-sunat/","2025-07-01-control-pe-0109-fiscalizacion-posterior","bajo","enlazar desde multas, requerimiento y fiscalizacion posterior","2026-05-23","Captura busquedas de usuarios ya notificados y deriva a landing de multas."
"requerimiento-aduanero-sunat-como-responder","/blog/requerimiento-aduanero-sunat-como-responder/","published","fiscalizacion","satelite urgente","informativa/comercial","decision","requerimiento aduanero SUNAT","como responder requerimiento aduanero, solicitud informacion aduanas, fiscalizacion aduanera","duenia de respuesta a requerimiento; notificacion es pieza superior de primer diagnostico","/servicios/multas-aduaneras-sunat/","2025-07-01-control-pe-0109-fiscalizacion-posterior","bajo","mantener enfoque en estructura de respuesta y documentos","2026-05-23","Pieza para usuarios con plazo activo ante SUNAT Aduanas."
"descargo-multa-aduanera-sunat","/blog/descargo-multa-aduanera-sunat/","published","fiscalizacion","satelite decision","informativa/comercial","decision","descargo multa aduanera SUNAT","defensa multa aduanera, responder multa SUNAT, infraccion aduanera descargo","duenia de descargo; guia de multas explica tabla y landing convierte","/servicios/multas-aduaneras-sunat/","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","enlazar desde guia de multas y notificacion","2026-05-23","Pieza de mayor intencion comercial para descargos y casos ya sancionados."
"fiscalizacion-aduanera-posterior-sunat","/blog/fiscalizacion-aduanera-posterior-sunat/","published","fiscalizacion","satelite tecnico-comercial","informativa/comercial","decision","fiscalizacion aduanera posterior","post despacho aduanero SUNAT, requerimiento fiscalizacion aduanera, fiscalizacion posterior importacion","duenia de fiscalizacion posterior; no competir con requerimiento puntual","/servicios/multas-aduaneras-sunat/","2025-07-01-control-pe-0109-fiscalizacion-posterior","bajo","enlazar desde multas y requerimiento","2026-05-23","Pieza para operaciones ya despachadas bajo revision."
"multa-aduanera-dam-datos-incorrectos","/blog/multa-aduanera-dam-datos-incorrectos/","published","fiscalizacion","satelite caso frecuente","informativa/comercial","decision","multa por datos incorrectos DAM","DAM con error, declaracion aduanera con error, datos incorrectos aduanas","duenia de errores DAM; valor declarado deriva a ajuste de valor","/servicios/multas-aduaneras-sunat/","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","conectar con valoracion si el campo observado es valor","2026-05-23","Caso frecuente de multa por datos declarativos incorrectos."
"multa-mercancia-restringida-sin-permiso","/blog/multa-mercancia-restringida-sin-permiso/","published","fiscalizacion","satelite regulatorio","informativa/comercial","decision","multa mercancia restringida sin permiso","mercancia restringida SUNAT, permiso VUCE importacion, multa por permiso importacion","duenia de multa por permisos; permisos generales sigue como pilar preventivo","/servicios/multas-aduaneras-sunat/","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","enlazar desde permisos e importar productos regulados","2026-05-23","Pieza para usuarios con observacion o multa por documento sectorial faltante."
"importar-mercaderia-campana-navidena-peru","/blog/importar-mercaderia-campana-navidena-peru/","published","importacion","satelite estacional","informativa/comercial","validacion operativa","importar mercaderia navidena Peru","campana navidena importacion, importar para Navidad, productos navidenos importados, importar para vender en diciembre","duenia de importacion estacional navidena; no competir con guias pilar de primera importacion, costos, permisos o juguetes","/servicios/consultoria-aduanera","","bajo","medir estacionalidad y enlazar desde piezas de temporada si aparecen","2026-06-21","Articulo satelite de temporada alineado al cluster de importacion; evita landing temporal y deriva a revision previa."
"importar-excavadoras-maquinaria-pesada-peru","/blog/importar-excavadoras-maquinaria-pesada-peru/","published","agencia-carga","satelite logistico-comercial","informativa/comercial","validacion operativa","importar excavadoras a Peru","importar maquinaria pesada, flat rack maquinaria pesada, contenedor flat rack, carga sobredimensionada, maquinaria usada importada","duenia de importacion de excavadoras y maquinaria pesada; no competir con transporte maritimo general ni cotizacion flete China Peru","/servicios/agencia-de-carga-internacional","","bajo","enlazar desde futuras piezas de carga proyecto, maquinaria usada o flat rack","2026-07-01","Articulo enriquecido para maquinaria pesada, flat rack, OOG, documentos, costos y coordinacion carga-aduanas-transporte."
